id,proponent_id,project,macrosector
491,491,CRISPR na Edição de Microrganismos,Engenharia
492,492,Workshops Wellness (Bem-Estar),Saúde e Bem-estar
493,493,LAGO (Liderança e Ação para Gestão Organizada),Meio Ambiente
494,494,Projeto de Robótica Autônoma,Tecnologia e Inovação
495,495,UneUniversos,Arte e Cultura
496,496,HealthTech Innovations,Tecnologia e Inovação
497,497,Projeto de Gestão de Desempenho Individual,Gestão e Recursos Humanos
498,498,Estudos de Gestão da Mudança,Educação
499,499,Programa de Engenharia Genética,Engenharia
500,500,Onde Estão as Soluções?,Tecnologia e Inovação
501,501,Iniciativa Diversidade na Suzano,Serviços Sociais
502,502,Quando Mudar?,Educação
503,503,Raio de Luz,Educação
504,504,Estudos de Desenvolvimento Pessoal,Educação
505,505,MobilidadeMalva,Transporte e Logística
506,506,ForçaFutura,Educação
507,507,Kiwi do Conhecimento,Educação
508,508,Sustainable Cities Initiative: Projeto de Renovação Urbana,Sustentabilidade
509,509,ReciclaRhodonita,Meio Ambiente
510,510,Projeto de Capacitação Profissional,Educação
511,511,Iniciativa de Redução do Uso de Plástico em Embalagens de Alimentos,Sustentabilidade
512,512,Sustainable Agriculture Initiative: Práticas de Agricultura Sustentável,Agricultura e Alimentação
513,513,Questões Qualitativas,Educação
514,514,Desenvolvimento de Equipe,Educação
515,515,Desenvolvimento Dedicado,Economia e Finanças
516,516,ConstruyeInclusión,Serviços Sociais
517,517,Ascend,Educação
518,518,Balança do Bem,Serviços Sociais
519,519,Neurociência Computacional e IA,Ciência e Pesquisa
520,520,Viva Voce (Com a Voz),Serviços Sociais
521,521,ImpulsaBienestar,Saúde e Bem-estar
522,522,PlanetaPeridoto,Sustentabilidade
523,523,PINHO (Preservação Integrada de Habitats e Oportunidades Naturais),Meio Ambiente
524,524,KinéticaKiwi,Ciência e Pesquisa
525,525,ImpulsaEmpreendedorismo,Empreendedorismo e Inovação
526,526,Programa Impulso Empreendedor,Empreendedorismo e Inovação
527,527,GeneGênio,Ciência e Pesquisa
528,528,ConstróiNegócios,Empreendedorismo e Inovação
529,529,Excelência Pessoal,Educação
530,530,Céu de Possibilidades,Tecnologia e Informação
531,531,SmartHome Solutions,Tecnologia e Inovação
532,532,Santé Solidaire (Saúde Solidária),Saúde e Bem-estar
533,533,Projeto de Inclusão na Oracle,Serviços Sociais
534,534,Projeto de Inclusão na Visa,Serviços Sociais
535,535,TransformaTerra,Sustentabilidade
536,536,Workshops de Wellbeing,Saúde e Bem-estar
537,537,KármicoKale,Saúde e Bem-estar
538,538,AgroInteligente,Agricultura e Alimentação
539,539,SmartCity Transport,Transporte e Logística
540,540,Projeto de Inovação na Amazon,Tecnologia e Inovação
541,541,Programa Empoderamento na B2W Digital,Serviços Sociais
542,542,CONTA (Consciência e Oportunidade Numa Transformação Ambiental),Meio Ambiente
543,543,GreenTech Travel,Transporte e Logística
544,544,AquaRide,Transporte e Logística
545,545,Quest,Educação
546,546,Grifo de Gestão,Desenvolvimento Econômico e Empresarial
547,547,Escola Nota 10,Educação
548,548,Labirinto de Ideias,Tecnologia e Informação
549,549,CulturaInclusiva,Arte e Cultura
550,550,ÓrbitaOrgânica,Agricultura e Alimentação
551,551,Iniciativa Harmonia,Saúde e Bem-estar
552,552,Cronos de Crescimento,Economia e Finanças
553,553,Soluções Sustentáveis,Meio Ambiente
554,554,Iniciativa Diversidade na Braskem,Serviços Sociais
555,555,Programa de Transformação na Facebook,Tecnologia e Inovação
556,556,Projeto de Engenharia de Materiais Avançados,Engenharia
557,557,Sísifo Sistêmico,Tecnologia e Inovação
558,558,Projeto de Implantação de Sistemas de Energia Solar em Comunidades Isoladas,Energia e Recursos
559,559,Desafío+Progreso,Educação
560,560,UrbanEcoTransit,Desenvolvimento Urbano e Infraestrutura
561,561,NexoNatural,Meio Ambiente
562,562,EducaDigital,Tecnologia e Educação
563,563,Programa Empoderamento na Natura,Serviços Sociais
564,564,Desenvolvimento de Líderes para inclusão de PCDs,Educação
565,565,Vínculos Vitais,Serviços Sociais
566,566,Cérebro Saudável,Saúde e Bem-estar
567,567,Karma Kinetic (Cinética do Karma),Tecnologia e Inovação
568,568,YogaYasmim,Saúde e Bem-estar
569,569,Arte Abstracta,Arte e Cultura
570,570,Inclusão e Pertencimento,Serviços Sociais
571,571,Tempo Tranquilo,Saúde e Bem-estar
572,572,Fausto em Finanças,Economia e Finanças
573,573,Ações de Preservação de Ecossistemas Aquáticos,Sustentabilidade
574,574,XenonXilofone,Ciência e Pesquisa
575,575,EcoAviation,Sustentabilidade
576,576,Programa de Capacitação em Tecnologia para Idosos,Educação
577,577,Zelo Zen,Educação
578,578,TodosTriunfo,Educação
579,579,Desafío+Transformación,Educação
580,580,Projeto de Reciclagem de Eletroeletrônicos,Tecnologia e Inovação
581,581,UrbanMobility Solutions,Tecnologia e Inovação
582,582,Desenvolvimento de Nanorrobôs para Medicina,Ciência e Pesquisa
583,583,Kiosque de Conhecimento,Educação
584,584,CleanEnergy Transport,Transporte e Logística
585,585,Programa Empoderamento na Gerdau,Serviços Sociais
586,586,Quíron Quântico,Ciência e Pesquisa
587,587,EcoMove,Sustentabilidade
588,588,Quando É Tarde Demais?,Meio Ambiente
589,589,Parceria com Escolas para Criação de Horta Escolar Vertical em Ambientes Urbanos,Educação
590,590,Projeto Igualdade na Azul,Serviços Sociais
591,591,Projeto de Implantação de Sistemas de Energia Eólica em Zonas Industriais,Energia e Recursos
592,592,Ações de Bem-Estar na SaúdeTotal,Saúde e Bem-estar
593,593,Projeto Vida Saudável,Saúde e Bem-estar
594,594,Caminho Verde: Projeto de Mobilidade Sustentável,Transporte e Logística
595,595,IA em Diagnóstico Médico por Imagem,Tecnologia e Saúde
596,596,Programa de Capacitação em Agricultura Orgânica para Pequenos Produtores,Educação
597,597,"Ações de bem estar, saúde e felicidade na Thyssenkrupp",Saúde e Bem-estar
598,598,Campanha de Sensibilização para a Adoção de Transporte Público em Áreas Urbanas,Transporte e Logística
599,599,Desenvolvimento de Tecnologia para Reciclagem de Plásticos,Tecnologia e Inovação
600,600,Proyecto de Desarrollo de Talento,Educação
601,601,Escudo Ambiental,Sustentabilidade
602,602,OrganizaçãoÓpalo,Estratégia e Gestão
603,603,Projeto Harmony: Iniciativa de Construção Comunitária Inter-religiosa,Desenvolvimento Comunitário
604,604,Iniciativa de Bem-Estar no Trabalho,Saúde e Bem-estar
605,605,Iniciativa Diversidade na Bradesco,Serviços Sociais
606,606,ResíduoResponsável,Meio Ambiente
607,607,Iniciativa de Educação Ambiental para Crianças em Situação de Vulnerabilidade,Educação
608,608,Projeto de Valorização da Cultura Local em Bairros Multiculturais,Serviços Sociais
609,609,Desenvolvimento de Tecnologia para Monitoramento de Poluição Sonora,Tecnologia e Inovação
610,610,ProjectEco: Projeto Ecológico,Sustentabilidade
611,611,CRISPR-Cas12 para Detecção de Marcadores Genéticos,Engenharia
612,612,ExoXisto,Ciência e Pesquisa
613,613,Projeto Nova Era,Educação
614,614,Programa Startup Booster,Empreendedorismo e Inovação
615,615,Projeto Equidade na Cielo,Serviços Sociais
616,616,OCEANO (Oportunidades Comunitárias e Educação Ambiental no Nosso entorno),Educação
617,617,Iniciativa de Redução do Consumo de Água em Condomínios Residenciais,Sustentabilidade
618,618,Campanha de Reciclagem de Resíduos Eletrônicos em Escolas,Educação
619,619,Projeto Igualdade na JBS,Serviços Sociais
620,620,UrbanMove,Tecnologia e Informação
621,621,IA em Descoberta de Biomarcadores Genéticos,Ciência e Pesquisa
622,622,Programa de Bem-Estar na Netflix,Saúde e Bem-estar
623,623,Iniciativa de Mentoria Profissional,Educação
624,624,PromoveEducação,Educação
625,625,Projeto de Gestão de Conflitos,Gestão e Recursos Humanos
626,626,Nurture,Educação
627,627,Crescimento e Desenvolvimento,Educação
628,628,GRÃO (Gestão de Recursos Ambientais e Oportunidades Naturais),Meio Ambiente
629,629,Innovation for Inclusion: Technology Training for Persons with Disabilities,Tecnologia e Inovação
630,630,Iniciativa Diversidade na Duratex,Serviços Sociais
631,631,FloraFeldspato,Ciência e Pesquisa
632,632,Talos Tecnológico,Tecnologia e Inovação
633,633,Jornada Jurídica,Serviços Sociais
634,634,Projeto Valores Compartilhados,Serviços Sociais
635,635,InnovaEquidad,Serviços Sociais
636,636,Transformação Organizacional,Educação
637,637,ExpandeEmpatia,Saúde e Bem-estar
638,638,Geração Global,Serviços Sociais
639,639,Iniciativa de Desenvolvimento de Talentos,Educação
640,640,Iniciativa de Análise de Dados Ambientais,Meio Ambiente
641,641,Estudos de Supercondutividade em Materiais Quânticos,Ciência e Pesquisa
642,642,Mobilidade Máxima,Transporte e Logística
643,643,FOCO (Formação e Oportunidade para Criação de Oportunidades),Educação
644,644,Kreativ Kraft (Força Criativa),Arte e Cultura
645,645,Kinética Cultural,Arte e Cultura
646,646,FOCA (Formação e Oportunidades para Comunidades Ativas),Educação
647,647,Programa Saúde Mental,Saúde e Bem-estar
648,648,Educação Verde: Sustentabilidade nas Escolas,Educação e Meio Ambiente
649,649,Mercado Multicultural,Arte e Cultura
650,650,ImpulsaDesarrollo,Educação
651,651,Projeto de Gestão de Crises,Estratégia e Gestão
652,652,Pursue,Educação
653,653,IA em Modelagem Climática Global,Meio Ambiente
654,654,TransTech Ventures,Transporte e Tecnologia
655,655,Gracia Verde (Graça Verde),Meio Ambiente
656,656,Interseccionalidade nas lideranças,Gestão e Recursos Humanos
657,657,Programa Inclusão na Odebrecht,Serviços Sociais
658,658,DriveSphere,Tecnologia e Informação
659,659,Proj. Youth: Projeto Juventude,Educação
660,660,TechTalentos,Tecnologia e Informação
661,661,Desenvolvimento de Tecnologia para Agricultura Sustentável,Tecnologia e Inovação
662,662,Caminho Verde: Promoção da Mobilidade Sustentável,Transporte e Logística
663,663,Projeto de Engenharia de Biomateriais,Engenharia
664,664,GreenTech Solutions: Soluções Tecnológicas Sustentáveis,Tecnologia e Inovação
665,665,Programa Transforme-se,Saúde e Bem-estar
666,666,EcoLogistics,Sustentabilidade
667,667,Beyond Borders: Promoção da Diversidade e Inclusão,Serviços Sociais
668,668,Desenvolvimento de Talentos,Educação
669,669,LER (Liberdade de Expressão e Reflexão),Educação
670,670,Whispering Wind (Sussurro do Vento),Meio Ambiente
671,671,Ações de Saúde Mental na Pharmex,Saúde e Bem-estar
672,672,EducaAmbiental,Educação e Meio Ambiente
673,673,Programa Inclusão na Santander,Serviços Sociais
674,674,SkyShift,Tecnologia e Informação
675,675,EducaInclusão,Educação
676,676,Saúde Pública,Saúde e Bem-estar
677,677,Parceria com ONGs para Preservação de Corais em Áreas Costeiras,Sustentabilidade
678,678,IA em Diagnóstico Precoce de Doenças,Tecnologia e Saúde
679,679,Rêve Réalité (Sonho Realidade),Serviços Sociais
680,680,Proyecto Impacto Positivo,Serviços Sociais
681,681,SmartMove,Tecnologia e Informação
682,682,Projeto de Equilíbrio entre Trabalho e Vida Pessoal,Gestão e Recursos Humanos
683,683,Por Que a Educação Transforma?,Educação
684,684,Lírio de Lore,Educação
685,685,GreenTech: Tecnologia Ambiental,Tecnologia e Meio Ambiente
686,686,Programa Equidade na Petrobras,Serviços Sociais
687,687,EcoTrans Ventures,Sustentabilidade
688,688,Tecnologia Tranquila,Tecnologia e Inovação
689,689,TerraTecnologia,Tecnologia e Informação
690,690,WebWisteria,Tecnologia e Informação
691,691,Iniciativa do Desempenho,Educação
692,692,Programa de Integridade - Selo Pró Ética,Direito e Governança
693,693,Biotecnologia Brilhante,Engenharia
694,694,Programa de Capacitação em Empreendedorismo para Refugiados,Educação
695,695,Iniciativa de Análise de Dados Genômicos,Ciência e Pesquisa
696,696,Project Harmony: Building Interfaith Dialogue and Cooperation,Desenvolvimento Comunitário
697,697,Iniciativa de Educação Ambiental para Crianças em Situação de Risco,Educação
698,698,SONHA (Soluções Oníricas para Necessidades Humanas e Ambientais),Educação
699,699,VIGIA (Vigilância Integrada para Gestão e Impacto Ambiental),Meio Ambiente
700,700,Innovate4Good: Inovação para o Bem,Tecnologia e Inovação
701,701,EcoTransit Systems,Tecnologia e Inovação
702,702,Solstice Solace (Consolo do Solstício),Arte e Cultura
703,703,EcoRide Solutions,Tecnologia e Inovação
704,704,Desafio de Vida Sustentável: Campanha de Estilo de Vida Sustentável,Sustentabilidade
705,705,Programa de Diversidade e Inclusão,Gestão e Recursos Humanos
706,706,Quem Inova?,Tecnologia e Inovação
707,707,Pilar da Prosperidade,Economia e Finanças
708,708,HarmonizaHumanidade,Saúde e Bem-estar
709,709,Projeto Azul: Conservação da Água em Práticas Agrícolas,Agricultura e Alimentação
710,710,Semente do Futuro,Educação
711,711,Montagne Mystique (Montanha Mística),Turismo e Lazer
712,712,Negra Rosa,Desenvolvimento Econômico e Empresarial
713,713,InovaçãoCultural,Arte e Cultura
714,714,Palais du Progrès (Palácio do Progresso),Educação
715,715,CleanEnergy Innovations,Energia e Recursos
716,716,HealthTech Ventures,Tecnologia e Saúde
717,717,Programa Avance,Educação
718,718,LinguísticaLavanda,Educação
719,719,Campanha de Sensibilização para a Redução do Uso de Plásticos em Praias,Meio Ambiente
720,720,Iniciativa de Acessibilidade em Espaços Públicos,Desenvolvimento Urbano e Infraestrutura
721,721,AcciónSostenible,Sustentabilidade
722,722,Janela para o Mundo,Educação
723,723,EducaVida,Educação
724,724,FutureCommute Solutions,Tecnologia e Inovação
725,725,Noble Nécessité (Necessidade Nobre),Serviços Sociais
726,726,Iniciativa Força Jovem,Educação
727,727,SínteseSáfira,Ciência e Pesquisa
728,728,DE&I na Vitacon,Serviços Sociais
729,729,Vida Ativa,Saúde e Bem-estar
730,730,Projeto Cooperação e Aprendizado,Educação
731,731,JogoJaspe,Tecnologia e Dados
732,732,InnovaCambio,Educação
733,733,Zenith Zephyr (Zênite Zéfiro),Tecnologia e Inovação
734,734,Tech4All: Tecnologia para Todos,Tecnologia e Inovação
735,735,Programa de Astronomia Observacional,Ciência e Pesquisa
736,736,Inovação Pessoal,Educação
737,737,ConexiónBienestar,Saúde e Bem-estar
738,738,Psicologia Cognitiva Aplicada,Saúde e Bem-estar
739,739,VelocityVoyage,Tecnologia e Informação
740,740,FAUNA (Formação e Ações Unificadas para a Natureza e Animais),Meio Ambiente
741,741,Diálogo Dinâmico,Educação
742,742,EcoFriendly Commute,Sustentabilidade
743,743,SaludMental+,Saúde e Bem-estar
744,744,TechBridge: Promoção da Alfabetização Digital em Comunidades Carentes,Educação
745,745,Âncora da Estabilidade,Economia e Finanças
746,746,Júpiter Jurídico,Direito e Governança
747,747,Programa de Capacitação em Artesanato para Mulheres Chefes de Família,Educação
748,748,FórumFuturista,Ciência e Pesquisa
749,749,InnovaTalento,Educação
750,750,ÓrbitaOpala,Ciência e Pesquisa
751,751,TecidoTecnológico,Tecnologia e Informação
752,752,Aprendizado Profundo,Tecnologia e Dados
753,753,Programa de Educação Financeira em Escolas de Baixa Renda,Educação
754,754,Iniciativa de Bioengenharia de Tecidos,Engenharia
755,755,NutriNature,Saúde e Bem-estar
756,756,DELTA (Desenvolvimento e Educação Local por Tecnologia e Apoio),Educação
757,757,Desenvolvimento de Tecnologia para Monitoramento de Poluição do Ar,Tecnologia e Inovação
758,758,Motivate,Educação
759,759,Como Fazemos a Diferença?,Serviços Sociais
760,760,Iniciativa de Biologia Molecular Avançada,Ciência e Pesquisa
761,761,Desenvolvimento Sustentável,Sustentabilidade
762,762,Iniciativa de Igualdade na HP,Serviços Sociais
763,763,Spark,Empreendedorismo e Inovação
764,764,CriaçãoTech,Tecnologia e Inovação
765,765,VENTO (Vigilância Ecológica e Novas Tecnologias Organizadas),Meio Ambiente
766,766,Gaia Galleria (Galeria Gaia),Arte e Cultura
767,767,EducaCrecimiento,Educação
768,768,Âncora do Futuro,Sustentabilidade
769,769,EcoPulse,Tecnologia e Meio Ambiente
770,770,HojeMelhor,Educação
771,771,Apoio à Produção de Alimentos Orgânicos em Pequenas Propriedades,Agricultura e Alimentação
772,772,CuidaCidades,Desenvolvimento Urbano e Infraestrutura
773,773,Cidades Verdes: Integração de IoT para Desenvolvimento Sustentável,Tecnologia e Inovação
774,774,SINAL (Sistema Inovador de Navegação e Apoio Local),Tecnologia e Inovação
775,775,HidroHolograma,Meio Ambiente
776,776,Programa de Educação Ambiental em Escolas,Educação
777,777,ConstróiSaúde,Saúde e Infraestrutura
778,778,Balão de Possibilidades,Educação
779,779,DesarrolloTalento+,Educação
780,780,Xereta da Xerazade,Educação
781,781,Iniciativa de Redução de Desperdício de Papel em Escritórios,Sustentabilidade
782,782,Além de Barreiras: Inclusão de Pessoas com Deficiência no Local de Trabalho,Serviços Sociais
783,783,UrbanFlow,Tecnologia e Informação
784,784,Fadas Madrinhas para combate à violência contra a mulher,Serviços Sociais
785,785,SmartLife Tech,Tecnologia e Inovação
786,786,CulturaConecta,Arte e Cultura
787,787,Vidas Virtuosas,Educação
788,788,TechSoup: Acesso à Tecnologia para Organizações Sem Fins Lucrativos,Tecnologia e Inovação
789,789,Bioengenharia de Tecidos com Impressão 3D,Engenharia
790,790,IA em Modelagem de Ecossistemas Terrestres,Meio Ambiente
791,791,Renewable Revolution: Implementação de Parques Eólicos Comunitários,Energia e Recursos
792,792,Círculo da Vida,Saúde e Bem-estar
793,793,Mentoria e Aprendizado,Educação
794,794,Iniciativa de Redução do Uso de Plásticos Descartáveis em Restaurantes,Sustentabilidade
795,795,Belleza Bio (Beleza Biológica),Saúde e Bem-estar
796,796,Achieve,Educação
797,797,Xcel,Educação
798,798,Eco Équilibre (Equilíbrio Ecológico),Meio Ambiente
799,799,EcoEnergia,Energia e Recursos
800,800,Fleur de Futur (Flor do Futuro),Meio Ambiente
801,801,Cristal da Tecnologia,Tecnologia e Inovação
802,802,Vela do Progresso,Empreendedorismo e Inovação
803,803,Projeto Sustentável na Coca-Cola,Sustentabilidade
804,804,Novas Navegações,Educação
805,805,Desenvolvimento de Competências,Educação
806,806,Floresta Urbana,Desenvolvimento Urbano e Infraestrutura
807,807,Xenofilia e Xerofilia,Arte e Cultura
808,808,Projeto de Valorização,Educação
809,809,Programa de Engajamento,Educação
810,810,Campanha de Conscientização sobre Desperdício de Energia em Escolas,Educação
811,811,AirSail,Tecnologia e Informação
812,812,SABER (Soluções Ambientais Baseadas em Educação e Resiliência),Educação
813,813,Desenvolvimento de Tecnologia para Monitoramento de Poluição Atmosférica,Tecnologia e Inovação
814,814,Estudos de Resistência de Patógenos a Antimicrobianos,Saúde e Pesquisa
815,815,Torre de Babel Tecnológica,Tecnologia e Informação
816,816,Programa de Bem-Estar na McDonald's,Saúde e Bem-estar
817,817,Quem Lidera a Mudança?,Educação
818,818,Youth Empowerment Program: Desenvolvimento de Liderança para Jovens em Risco,Educação
819,819,Edição Genômica com CRISPR,Ciência e Pesquisa
820,820,Projeto Inclusão na Ambev,Serviços Sociais
821,821,Robôs Amigáveis,Tecnologia e Inovação
822,822,Inovação Aberta,Tecnologia e Inovação
823,823,Onda do Sucesso,Desenvolvimento Econômico e Empresarial
824,824,EcoMotion,Sustentabilidade
825,825,Luzes da Liderança,Educação
826,826,Flourish,Desenvolvimento Comunitário
827,827,TranscendX,Tecnologia e Informação
828,828,Proyecto de Salud Ocupacional,Saúde e Bem-estar
829,829,Física de Altas Energias,Ciência e Pesquisa
830,830,InspiraInclusão,Educação
831,831,GreenPath,Sustentabilidade
832,832,HealthTech Futures,Tecnologia e Inovação
833,833,CRISPR-Cas12 para Detecção de Patógenos,Engenharia
834,834,Projeto Vitalidade,Saúde e Bem-estar
835,835,Programa de Estudos de Matéria Escura,Ciência e Pesquisa
836,836,SmartPorts,Transporte e Logística
837,837,Como É o Mundo Que Queremos?,Educação
838,838,Programa de Inclusão na Tesla,Serviços Sociais
839,839,Reciclagem Eficiente,Meio Ambiente
840,840,Iniciativa de Desenvolvimento na Adobe,Educação
841,841,Clean Energy for All: Acesso à Energia Solar,Energia e Recursos
842,842,Parceria com Universidades para Pesquisa em Sustentabilidade,Educação
843,843,FutureFlight,Tecnologia e Informação
844,844,Ações de Promoção da Saúde Mental em Instituições de Ensino,Saúde e Bem-estar
845,845,Iniciativa Igualdade na Vale,Serviços Sociais
846,846,BeyondBrd: Além das Fronteiras,Desenvolvimento Internacional
847,847,Iniciativa de Saúde Integral,Saúde e Bem-estar
848,848,SmartVehicle Charging,Tecnologia e Informação
849,849,Iniciativa de Desenvolvimento na Toyota,Educação
850,850,Parceria com Escolas para Criação de Hortas Escolares Orgânicas,Educação
851,851,Movimento Mais,Saúde e Bem-estar
852,852,Justiça Jovem,Serviços Sociais
853,853,Programa Empoderamento na Eletrobras,Serviços Sociais
854,854,InovaçãoCidadã,Empreendedorismo e Inovação
855,855,Rastreamento de Emissões de Carbono na Cadeia de Suprimentos,Sustentabilidade
856,856,Onde Vamos Chegar?,Educação
857,857,Muralha da Inovação,Tecnologia e Inovação
858,858,Innovate for Impact: Soluções Tecnológicas para Desafios Sociais,Tecnologia e Inovação
859,859,ÍconeInovador,Tecnologia e Informação
860,860,Programa de Desenvolvimento de Habilidades Socioemocionais,Educação
861,861,Campanha de Sensibilização para a Redução do Uso de Agrotóxicos em Áreas Rurais,Agricultura e Alimentação
862,862,Labirinto de Liderança,Educação
863,863,Água Limpa,Saúde e Infraestrutura
864,864,Jano de Justiça,Direito e Governança
865,865,Yoga da Yalda,Saúde e Bem-estar
866,866,SkySprint,Transporte e Logística
867,867,EmpowHer: Capacitação Feminina,Educação
868,868,AirScape,Tecnologia e Informação
869,869,EcoDrive,Transporte e Logística
870,870,TranscendenceTech,Tecnologia e Inovação
871,871,Programa de Engajamento de Funcionários,Gestão e Recursos Humanos
872,872,SmartMaritime,Transporte e Logística
873,873,Projeto de Arquitetura de Computadores Quânticos,Tecnologia e Informação
874,874,Grasp,Educação
875,875,Carrossel do Aprendizado,Educação
876,876,Iniciativa Diversidade na Cosan,Serviços Sociais
877,877,Programa Impulsiona Pequenos Negócios,Economia e Finanças
878,878,Inteligência Artificial Biomédica,Tecnologia e Saúde
879,879,Neurociência Computacional,Ciência e Pesquisa
880,880,Programa de Bem-Estar na Microsoft,Saúde e Bem-estar
881,881,Sonhos Sólidos,Educação
882,882,Projeto Verde: Iniciativa de Reflorestamento Urbano,Sustentabilidade
883,883,Estrela Guia,Educação
884,884,Xícara de Xeque,Estratégia e Gestão
885,885,Projeto de Implantação de Sistemas de Tratamento de Esgoto em Comunidades Rurais,Sustentabilidade
886,886,Jardim do Conhecimento,Educação
887,887,LíderesInnovadores,Educação
888,888,RenewTech,Energia e Recursos
889,889,Kindle,Educação
890,890,EcoDrive Dynamics,Sustentabilidade
891,891,Flauta do Futuro,Arte e Cultura
892,892,SpeedSmart,Transporte e Tecnologia
893,893,Beyond Borders: Iniciativa de Integração de Refugiados,Serviços Sociais
894,894,Dream Big,Educação
895,895,Projeto de Reconhecimento e Recompensas,Gestão e Recursos Humanos
896,896,VenceVida,Saúde e Bem-estar
897,897,Aquiles Arte,Arte e Cultura
898,898,Foster,Desenvolvimento Comunitário
899,899,Estudos de Work-Life Balance,Saúde e Bem-estar
900,900,O Que Podemos Construir Juntos?,Desenvolvimento Comunitário
901,901,Projeto Conexão Global,Educação
902,902,PromoveAlimentação,Saúde e Bem-estar
903,903,Green Growth Accelerator: Incubadora de Negócios Sustentáveis,Desenvolvimento Econômico e Empresarial
904,904,FuturoEducação,Educação
905,905,Midas Moderno,Economia e Finanças
906,906,Sensibilização sobre D&I aos colaboradores,Gestão e Recursos Humanos
907,907,Diversidade Impulsiona Inovação: Treinamento de Inclusão Corporativa,Educação
908,908,Felicidade Interna Bruta aplicada ao negócio,Saúde e Bem-estar
909,909,Iniciativa Empreendedorismo Jovem,Educação
910,910,Apoio à Economia Circular em Pequenas Empresas,Desenvolvimento Econômico e Empresarial
911,911,Iniciativa Diversidade na Oi,Serviços Sociais
912,912,Cultura Cosmopolita,Arte e Cultura
913,913,Programa Prosperidade,Desenvolvimento Econômico e Empresarial
914,914,Programa de Capacitação em Empreendedorismo para Jovens em Comunidades Rurais,Educação
915,915,Inovação em Capacitação,Educação
916,916,CRISPR-Cas9 em Engenharia de Plantas,Engenharia
917,917,Campanha de Conscientização sobre Consumo Responsável,Sustentabilidade
918,918,Invictus Inclusão,Serviços Sociais
919,919,FortificaFuturos,Educação
920,920,DataWave,Tecnologia e Dados
921,921,Projeto de Inovação na Nestlé,Tecnologia e Inovação
922,922,Joy Jump,Serviços Sociais
923,923,União Uplift,Educação
924,924,Ar Limpo,Meio Ambiente
925,925,Desenvolvimento de Tecnologia para Monitoramento de Incêndios Florestais,Tecnologia e Inovação
926,926,Éclat Éducatif (Brilho Educativo),Educação
927,927,Reforma que Transforma,Desenvolvimento Urbano e Infraestrutura
928,928,Onde Estão os Desafios?,Educação
929,929,DesenvolveDireitos,Direito e Governança
930,930,Iniciativa de Química Computacional,Ciência e Pesquisa
931,931,Jornada da Justiça,Direito e Governança
932,932,Cuidado Infantil,Saúde e Bem-estar
933,933,NavegaNobres,Educação
934,934,TechSoup: Providing Technology Access to Nonprofit Organizations,Tecnologia e Inovação
935,935,CRISPR em Terapia de Doenças Hereditárias,Ciência e Pesquisa
936,936,Cidades Criativas,Desenvolvimento Urbano e Infraestrutura
937,937,Campanha de Reflorestamento em Áreas Urbanas,Meio Ambiente
938,938,Programa de Incentivo à Biodiversidade em Áreas Urbanas,Meio Ambiente
939,939,Campanha de Sensibilização para a Adoção de Energias Renováveis,Energia e Recursos
940,940,DesarrolloHumano+,Educação
941,941,TransformaMar,Meio Ambiente
942,942,ConexiónSolidaridad,Serviços Sociais
943,943,SmartCity Mobility,Tecnologia e Informação
944,944,TERRA (Tecnologia e Educação para a Revitalização de Recursos Ambientais),Educação
945,945,Alquimia da Ação,Sustentabilidade
946,946,RURAL (Reformas Únicas para Uso da Terra e Agricultura Local),Agricultura e Alimentação
947,947,Flecha da Focalização,Educação
948,948,Tech4Dev: Tecnologia para Desenvolvimento,Tecnologia e Inovação
949,949,DadosDiamante,Tecnologia e Informação
950,950,Projeto de Inovação na Sony,Tecnologia e Inovação
951,951,Projeto Esperança,Desenvolvimento Comunitário
952,952,Inclusão Produtiva,Serviços Sociais
953,953,EmpowerTech: Capacitação em Tecnologia para Mulheres,Educação
954,954,Urgências Urbanas,Desenvolvimento Urbano e Infraestrutura
955,955,FutureTransit Hubs,Tecnologia e Informação
956,956,Ciência Verde,Meio Ambiente
957,957,Project Harmony: Diálogo e Cooperação Inter-religiosa,Desenvolvimento Comunitário
958,958,Campanha de Sensibilização para o Uso Consciente de Energia em Residências,Sustentabilidade
959,959,AscendAção,Educação
960,960,Dionísio Digital,Tecnologia e Inovação
961,961,SustentaEducação,Educação
962,962,EmpreendeJovem,Educação
963,963,Operações Otimizadas,Desenvolvimento Econômico e Empresarial
964,964,Ações de Promoção da Diversidade e Inclusão em Ambientes Corporativos,Gestão e Recursos Humanos
965,965,Ponte para o Futuro,Desenvolvimento Comunitário
966,966,Projeto de Implantação de Sistemas de Coleta Seletiva em Condomínios Residenciais,Sustentabilidade
967,967,Biologia Sintética Aplicada,Engenharia
968,968,Ações de Bem-Estar na SaúdeMais,Saúde e Bem-estar
969,969,Campanha de Conscientização sobre Consumo Consciente de Moda,Sustentabilidade
970,970,Iniciativa de Redução do Desperdício de Alimentos em Eventos Corporativos,Sustentabilidade
971,971,TransformaAlimentação,Agricultura e Alimentação
972,972,Leap,Tecnologia e Inovação
973,973,Estudio de Clima Organizacional,Educação
974,974,Ações de Sensibilização sobre Direitos Humanos em Ambientes Corporativos,Serviços Sociais
975,975,LíderesConscientes,Educação
976,976,OtimizaOportunidades,Educação
977,977,Farol da Esperança,Saúde e Bem-estar
978,978,Projeto de Redução de Desperdício de Água em Residências,Sustentabilidade
979,979,Inovação em Liderança,Educação
